Code postal,Commune,Type local,Prix m2
01800,VILLIEU-LOYES-MOLLON,Maison,2804.9180327868853
01851,MARBOZ,Maison,1771.0280373831777
01960,PERONNAS,Appartement,2125.817860300619
01960,PERONNAS,Maison,2019.9392097264438
01960,SAINT-ANDRE-SUR-VIEUX-JONC,Maison,1627.983488058961
01960,SERVAS,Appartement,1269.811320754717
01960,SERVAS,Maison,1738.85587431694
01990,BANEINS,Maison,2161.764705882353
01990,CHANEINS,Appartement,1756.9686274509804
01990,CHANEINS,Maison,1840.051336691205
01990,RELEVANT,Maison,2303.168316831683
01990,SAINT-TRIVIER-SUR-MOIGNANS,Appartement,1285.3238866396764
01990,SAINT-TRIVIER-SUR-MOIGNANS,Maison,1938.2567808219178
02000,CHAVIGNON,Maison,1426.605504587156
02110,AISONVILLE ET BERNOVILLE,Maison,1077.304964539007
02110,SAINT MARTIN RIVIERE,Maison,1866.6666666666667
02110,VAUX ANDIGNY,Maison,1085.2713178294573
02120,FLAVIGNY LE GRAND ET BEAURAIN,Maison,1095.890410958904
02120,GRAND VERLY,Maison,1488.235294117647
02120,GUISE,Maison,1219.720658745049
02120,HAUTEVILLE,Maison,1117.857142857143
02120,LANDIFAY ET BERTAIGNEMONT,Maison,1023.6363636363636
02120,LE HERIE LA VIEVILLE,Maison,1056.6666666666667
02120,LESQUIELLES SAINT GERMAIN,Maison,1125.0
02120,MACQUIGNY,Maison,1055.9734513274336
02120,MONCEAU SUR OISE,Maison,1000.0
02120,PROISY,Maison,1199.9586435070305
02120,PROIX,Maison,1267.605633802817
02120,ROMERY,Maison,10147.058823529413
02120,SAINS RICHAUMONT,Maison,1113.6363636363635
02120,TUPIGNY,Maison,1000.0
02120,VADENCOURT,Maison,1319.743935309973
02120,VILLERS LES GUISE,Maison,2360.0
02130,ARCY-SAINTE-RESTITUE,Maison,1178.4261715296198
02130,BEUVARDES,Maison,1477.5432900432902
02130,BRUYERES-SUR-FERE,Maison,1042.7350427350427
02130,COULONGES-COHAN,Maison,1812.5
02130,COURMONT,Maison,1107.377049180328
02130,DRAVEGNY,Maison,1669.1954022988507
02130,FERE EN TARDENOIS,Maison,1333.3333333333333
02130,FRESNES-EN-TARDENOIS,Maison,1223.732407942934
02130,GOUSSANCOURT,Maison,1956.5217391304348
02130,MAREUIL EN DOLE,Maison,1683.6734693877552
02130,RONCHERES,Maison,1197.0802919708028
02130,SAPONAY,Maison,1495.3401258615522
02130,SERGY,Maison,2225.60487667106
02130,SERINGES ET NESLES,Maison,1444.2105263157896
02130,VEZILLY,Maison,1380.1470588235293
02130,VILLENEUVE SUR FERE,Maison,1205.9274399591213
02130,VILLERS AGRON AIGUIZY,Maison,1111.5151515151515
02130,VILLERS SUR FERE,Maison,1565.472481827622
02140,BURELLES,Maison,1300.0
02140,FONTAINE-LES-VERVINS,Maison,1610.0
02140,GERCY,Maison,1333.3333333333333
02140,HARY,Maison,1840.2777777777776
02140,HAUTION,Maison,1648.148148148148
02140,LA BOUTEILLE,Maison,1030.7692307692307
02140,LA VALLEE-AU-BLE,Maison,1354.1989942528735
02140,LEME,Maison,1111.111111111111
02140,NAMPCELLES LA COUR,Maison,1600.0
